Date,Open,High,Low,Close,Volume
2022-06-10 16:40:00,137.4400,137.5000,137.4100,137.4100,7307
2022-06-10 16:35:00,137.4000,137.4400,137.1300,137.4300,63446
2022-06-10 16:30:00,137.4000,137.4700,137.3500,137.3700,17479
2022-06-10 16:25:00,137.4200,137.4400,137.1300,137.3900,89255
2022-06-10 16:20:00,137.3000,137.5200,137.2800,137.4101,36942
2022-06-10 16:15:00,137.2299,137.2800,137.1800,137.2700,297309
2022-06-10 16:10:00,137.2200,137.2400,137.1100,137.2000,342033
2022-06-10 16:05:00,137.1300,137.2500,137.0600,137.1900,619934
2022-06-10 16:00:00,137.6700,137.7800,137.0600,137.1200,4107102
2022-06-10 15:55:00,137.6100,137.9700,137.3400,137.6700,2780487
2022-06-10 15:50:00,138.1100,138.1300,137.5600,137.6091,1839947
2022-06-10 15:45:00,138.6000,138.7000,138.0558,138.1299,1239452
2022-06-10 15:40:00,138.4400,138.9000,138.3700,138.5900,1126189
2022-06-10 15:35:00,138.8700,138.8800,138.3500,138.4400,1382208
2022-06-10 15:30:00,138.6900,139.1650,138.6600,138.8700,1305816
2022-06-10 15:25:00,138.5900,138.6850,138.1400,138.6850,948370
2022-06-10 15:20:00,138.3999,138.6700,138.3600,138.5900,744606
2022-06-10 15:15:00,138.2150,138.5100,138.1700,138.3900,686646
2022-06-10 15:10:00,138.2800,138.3400,138.1200,138.2100,876667
2022-06-10 15:05:00,138.7500,138.9300,138.2300,138.2807,978522
2022-06-10 15:00:00,138.5400,139.0200,138.4700,138.7400,1120300
2022-06-10 14:55:00,138.4750,138.5399,138.2700,138.5260,586689
2022-06-10 14:50:00,138.0869,138.4801,138.0800,138.4801,570846
2022-06-10 14:45:00,138.1654,138.2000,137.9500,138.0800,564226
2022-06-10 14:40:00,138.1650,138.3100,138.0400,138.1600,679619
2022-06-10 14:35:00,137.9600,138.2900,137.9547,138.1625,580388
2022-06-10 14:30:00,138.1532,138.2200,137.8200,137.9600,592123
2022-06-10 14:25:00,137.9900,138.2300,137.9800,138.1600,550002
2022-06-10 14:20:00,137.8800,138.0600,137.7900,137.9900,614820
2022-06-10 14:15:00,138.0500,138.1400,137.8300,137.8750,444681
2022-06-10 14:10:00,138.0000,138.1800,137.9700,138.0500,408431
2022-06-10 14:05:00,138.2100,138.2500,137.9800,138.0100,593352
2022-06-10 14:00:00,138.3300,138.3400,138.0900,138.2000,572443
2022-06-10 13:55:00,138.4800,138.7400,138.3100,138.3400,865891
2022-06-10 13:50:00,138.1700,138.5200,138.0500,138.4700,879099
2022-06-10 13:45:00,138.2500,138.2700,138.0300,138.1600,562764
2022-06-10 13:40:00,137.8811,138.2672,137.8811,138.2500,597800
2022-06-10 13:35:00,138.0900,138.1090,137.7300,137.8800,578449
2022-06-10 13:30:00,137.8550,138.1000,137.8300,138.0900,742762
2022-06-10 13:25:00,137.8700,137.9400,137.7600,137.8500,446977
2022-06-10 13:20:00,137.5900,137.8800,137.5400,137.8610,441923
2022-06-10 13:15:00,137.7200,137.7700,137.4600,137.6000,504161
2022-06-10 13:10:00,137.7550,137.7700,137.5400,137.7200,411701
2022-06-10 13:05:00,137.7750,137.8520,137.6100,137.7600,426772
2022-06-10 13:00:00,137.6550,137.8600,137.6100,137.7747,418700
2022-06-10 12:55:00,137.7900,137.8047,137.5500,137.6500,686473
2022-06-10 12:50:00,137.9700,138.0565,137.7400,137.8099,490596
2022-06-10 12:45:00,137.8841,138.2100,137.8000,137.9600,723477
2022-06-10 12:40:00,137.8200,137.9799,137.7800,137.8900,465037
2022-06-10 12:35:00,137.9800,138.1200,137.7750,137.8400,654284
2022-06-10 12:30:00,137.7100,137.9900,137.6400,137.9750,646592
2022-06-10 12:25:00,137.6111,137.8100,137.5800,137.7100,582972
2022-06-10 12:20:00,137.5096,137.6510,137.4500,137.6035,418488
2022-06-10 12:15:00,137.8300,137.8500,137.4700,137.5050,621696
2022-06-10 12:10:00,137.7900,138.0700,137.7400,137.8400,812137
2022-06-10 12:05:00,137.8586,137.9900,137.7500,137.7800,545498
2022-06-10 12:00:00,137.4750,138.0000,137.3750,137.8400,797827
2022-06-10 11:55:00,137.3700,137.5600,137.2900,137.4750,583181
2022-06-10 11:50:00,137.7100,137.8500,137.3631,137.3700,620173
2022-06-10 11:45:00,137.5100,137.7600,137.4600,137.7100,717730
